customer_id,email,stripe_customer_id,charge_id,idempotency_key,stage2_disposition,execution_disposition,execution_reason,refund_id,refund_http_code,post_charge_refunded,post_charge_amount_refunded
042da7ab-71af-4f8e-876e-07ba44557c60,signup-paid-1779170332708-auir77gf@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
09f4197b-456e-4a8e-ab0c-82299b2cbc6f,signup-paid-1779367267082-id6em74u@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
199b20ef-c5c9-4ffc-a8dd-8ffbdbce3a27,signup-paid-1779220138969-b1et7m9x@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
1c239c5e-7a73-4847-8ced-bb977ba969af,signup-paid-1779367067604-nk87pfuh@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
20529eff-3ea2-4d9f-820f-13583ee81bd8,signup-paid-1779170304089-wp6irkzc@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
27b5e4ea-31b5-41fc-b4dd-78006ee22d83,signup-paid-1779368030268-zq5xlxw4@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
2972a142-eeee-4399-a2cf-f8d323cf654d,signup-paid-1779075618529-9x4ip2na@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
2a0d4324-87b7-4f03-b1ac-63493ed211e7,signup-paid-1779204804876-2f0lk9gl@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
2d292d38-83f1-4ad1-85c2-a91c88851c8b,signup-paid-1779074569561-t8ap9b5m@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
4c2f1ee5-05ec-45eb-a4f4-153897a339eb,signup-paid-1779220946366-td6nft8w@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
4e172e6b-c10a-479c-bb89-4cd807c71f61,signup-paid-1779220264281-i4tazhhi@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
5a182d14-dbb8-4abf-a70c-d3ae440bad4d,signup-paid-1779075364452-fe3gq7pv@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
5ce40f27-7aa9-460a-aac0-5804f2697ef9,signup-paid-1779199958883-y5334dn4@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
64756236-1ef8-4a6e-a331-274ad5b50e45,signup-paid-1779075544620-w9prtg6s@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
657c107b-72e0-4616-a059-f24258d4e6df,signup-paid-1779199987520-ypw0pd1r@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
6cf83d45-5641-404e-8d38-72b6e1e4a2ce,signup-paid-1779203936262-a4ci6x9x@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
7c3ef8de-b912-4879-847b-7dea44b73f5b,signup-paid-1779199106197-vjmsdtho@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
871fcac7-1b34-4d2c-bde2-a5a599436ba6,signup-paid-1779369054438-qarslcqu@e2e.griddle.test,,,,no_stripe_account,no_mutation,stage2_disposition_no_stripe_account:exact_row_has_null_stripe_customer_id,,,,
